CCS,Molecular_Weight,LogP,H_Donors,H_Acceptors,Rotatable_Bonds,SMILES,TPSA
179.9,403.177,-2.08633,7.0,11.0,6.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1,224.87999999999994
164.1,324.18199999999996,-2.3226,5.0,9.0,4.0,O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,171.57
162.3,324.18199999999996,-2.3226,5.0,9.0,4.0,O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,171.57
167.0,324.18199999999996,-2.3226,5.0,9.0,4.0,O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,171.57
172.8,324.18199999999996,-2.3226,5.0,9.0,4.0,O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,171.57
163.3,323.19800000000004,-2.20333,6.0,9.0,4.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1,178.35000000000002
165.1,323.19800000000004,-2.20333,6.0,9.0,4.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1,178.35000000000002
167.1,323.19800000000004,-2.20333,6.0,9.0,4.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1,178.35000000000002
168.7,323.19800000000004,-2.20333,6.0,9.0,4.0,N=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1,178.35000000000002
207.7,488.3270000000001,-1.9878299999999944,5.0,13.0,10.0,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O,216.71
197.6,488.3270000000001,-1.9878299999999944,5.0,13.0,10.0,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O,216.71
207.7,488.3270000000001,-1.9878299999999944,5.0,13.0,10.0,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O,216.71
114.3,111.09999999999998,0.7128999999999999,2.0,1.0,1.0,O=C(O)c1ccc[nH]1,53.089999999999996
133.7,179.22199999999998,3.3880000000000017,0.0,1.0,0.0,c1ccc2nc3ccccc3cc2c1,12.89
132.0,179.22199999999998,3.3880000000000017,0.0,1.0,0.0,c1ccc2nc3ccccc3cc2c1,12.89
